Name,Creator-maintainer,Based on,Standardized?[definition needed],Specification,Binary?,Human-readable?,Supports references?e,Schema-IDL?,Standard APIs,Supports zero-copy operations
Apache Arrow,Apache Software Foundation,—,De facto,Arrow Columnar Format,Yes,No,Yes,Built-in,"C, C++, C#, Go, Java, JavaScript, Julia, Matlab, Python, R, Ruby,  Rust, Swift",Yes
Apache Avro,Apache Software Foundation,—,No,Apache Avro™ Specification,Yes,Partialg,—,Built-in,"C, C#, C++, Java, PHP, Python, Ruby",—
Apache Parquet,Apache Software Foundation,—,No,Apache Parquet,Yes,No,No,—,"Java, Python, C++",No
Apache Thrift,"Facebook (creator)
Apache (maintainer)",—,No,Original whitepaper,Yes,Partialc,No,Built-in,"C++, Java, Python, PHP, Ruby, Erlang, Perl, Haskell, C#, Cocoa, JavaScript, Node.js, Smalltalk, OCaml, Delphi and other languages",—
ASN.1,"ISO, IEC, ITU-T",—,Yes,"ISO/IEC 8824 / ITU-T X.680 (syntax) and ISO/IEC 8825 / ITU-T X.690 (encoding rules) series. X.680, X.681, and X.683 define syntax and semantics.","BER, DER, PER, OER, or custom via ECN","XER, JER, GSER, or custom via ECN",Yesf,Built-in,—,OER
Bencode,"Bram Cohen (creator)
BitTorrent, Inc. (maintainer)",—,De facto as BEP,Part of BitTorrent protocol specification,"Except numbers and delimiters, being ASCII",No,No,No,No,No
BSON,MongoDB,JSON,No,BSON Specification,Yes,No,No,No,No,No
Cap'n Proto,Kenton Varda,—,No,Cap'n Proto Encoding Spec,Yes,Partialh,No,Yes,No,Yes
CBOR,"Carsten Bormann, P. Hoffman",MessagePack,Yes,RFC 8949,Yes,No,"Yes, 
through tagging",CDDL,FIDO2,No
Comma-separated values (CSV),"RFC author:
Yakov Shafranovich",—,Myriad informal variants,"RFC 4180
(among others)",No,Yes,No,No,No,No
Common Data Representation (CDR),Object Management Group,—,Yes,General Inter-ORB Protocol,Yes,No,Yes,Yes,"Ada, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk",—
D-Bus Message Protocol,freedesktop.org,—,Yes,D-Bus Specification,Yes,No,No,"Partial
(Signature strings)",Yes,—
Efficient XML Interchange (EXI),W3C,"XML, Efficient XML",Yes,Efficient XML Interchange (EXI) Format 1.0,Yes,XML,"XPointer, XPath",XML Schema,"DOM, SAX, StAX, XQuery, XPath",—
Extensible Data Notation (edn),Rich Hickey / Clojure community,Clojure,Yes,Official edn spec,No,Yes,No,No,"Clojure, Ruby, Go, C++, Javascript, Java, CLR, ObjC, Python",No
FlatBuffers,Google,—,No,Flatbuffers GitHub,Yes,Apache Arrow,"Partial
(internal to the buffer)",Yes,"C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript",Yes
Fast Infoset,"ISO, IEC, ITU-T",XML,Yes,ITU-T X.891 and ISO/IEC 24824-1:2007,Yes,No,"XPointer, XPath",XML schema,"DOM, SAX, XQuery, XPath",—
